09-Jun-2016,,,,,,,,,,,,,,,
iShares MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,14-Aug-01,,,,,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,,,,,
Total Net Assets,"$59,871,583,845",,,,,,,,,,,,,,
Number of Securities,960,,,,,,,,,,,,,,
Shares Outstanding,"1,016,400,000",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
NESN,NESTLE SA,Equity,1.96,75.69,"15,487,759.00","1,172,280,996.42","1,172,280,996.42",Consumer Staples,"7,123,870.00",CH0038863350,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
ROG,ROCHE HOLDING PAR AG,Equity,1.51,265.95,"3,406,161.00","905,884,490.12","905,884,490.12",Health Care,"7,110,388.00",CH0012032048,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
NOVN,NOVARTIS AG,Equity,1.49,80.67,"11,036,493.00","890,288,926.75","890,288,926.75",Health Care,"7,103,065.00",CH0012005267,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
"7,203.00",TOYOTA MOTOR CORP,Equity,1.15,52.63,"13,043,800.00","686,464,203.26","686,464,203.26",Consumer Discretionary,"6,900,643.00",JP3633400001,Tokyo Stock Exchange,Japan,USD,JPY,106.47
HSBA,HSBC HOLDINGS PLC,Equity,1.02,6.42,"95,509,963.00","612,956,672.52","612,956,672.52",Financials,"540,528.00",GB0005405286,London Stock Exchange,United Kingdom,USD,GBP,0.69
BATS,BRITISH AMERICAN TOBACCO PLC,Equity,0.94,61.82,"9,070,818.00","560,747,106.46","560,747,106.46",Consumer Staples,"287,580.00",GB0002875804,London Stock Exchange,United Kingdom,USD,GBP,0.69
RDSA,ROYAL DUTCH SHELL PLC CLASS A,Equity,0.88,25.82,"20,295,452.00","524,027,160.11","524,027,160.11",Energy,B03MLX2,GB00B03MLX29,London Stock Exchange,United Kingdom,USD,GBP,0.69
FP,TOTAL SA,Equity,0.87,48.52,"10,735,048.00","520,908,593.65","520,908,593.65",Energy,B15C557,FR0000120271,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
NOVOB,NOVO NORDISK CLASS B,Equity,0.86,57.07,"9,024,132.00","515,032,406.81","515,032,406.81",Health Care,BHC8X90,DK0060534915,Omx Nordic Exchange Copenhagen A/S,Denmark,USD,DKK,6.57
ABI,ANHEUSER BUSCH INBEV SA,Equity,0.84,129.39,"3,908,069.00","505,680,045.12","505,680,045.12",Consumer Staples,"4,755,317.00",BE0003793107,Nyse Euronext - Euronext Brussels,Belgium,USD,EUR,0.88
GSK,GLAXOSMITHKLINE PLC,Equity,0.82,20.84,"23,632,686.00","492,566,491.24","492,566,491.24",Health Care,"925,288.00",GB0009252882,London Stock Exchange,United Kingdom,USD,GBP,0.69
BP/,BP PLC,Equity,0.81,5.41,"89,626,973.00","485,202,461.35","485,202,461.35",Energy,"798,059.00",GB0007980591,London Stock Exchange,United Kingdom,USD,GBP,0.69
RDSB,ROYAL DUTCH SHELL PLC CLASS B,Equity,0.80,25.99,"18,331,056.00","476,489,376.50","476,489,376.50",Energy,B03MM40,GB00B03MM408,London Stock Exchange,United Kingdom,USD,GBP,0.69
CBA,COMMONWEALTH BANK OF AUSTRALIA,Equity,0.79,56.75,"8,289,783.00","470,429,641.91","470,429,641.91",Financials,"6,215,035.00",AU000000CBA7,Asx - All Markets,Australia,USD,AUD,1.34
SAN,SANOFI SA,Equity,0.78,81.94,"5,703,957.00","467,382,193.80","467,382,193.80",Health Care,"5,671,735.00",FR0000120578,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
VOD,VODAFONE GROUP PLC,Equity,0.69,3.18,"129,111,788.00","410,332,219.86","410,332,219.86",Telecommunications,BH4HKS3,GB00BH4HKS39,London Stock Exchange,United Kingdom,USD,GBP,0.69
BAYN,BAYER AG,Equity,0.68,102.19,"4,012,229.00","410,009,627.34","410,009,627.34",Health Care,"5,069,211.00",DE000BAY0017,Xetra,Germany,USD,EUR,0.88
SIE,SIEMENS AG,Equity,0.67,108.29,"3,717,947.00","402,632,954.85","402,632,954.85",Industrials,"5,727,973.00",DE0007236101,Xetra,Germany,USD,EUR,0.88
SAP,SAP,Equity,0.65,80.79,"4,788,565.00","386,843,225.11","386,843,225.11",Information Technology,"4,846,288.00",DE0007164600,Xetra,Germany,USD,EUR,0.88
WBC,WESTPAC BANKING CORPORATION CORP,Equity,0.61,22.56,"16,195,728.00","365,342,219.99","365,342,219.99",Financials,"6,076,146.00",AU000000WBC1,Asx - All Markets,Australia,USD,AUD,1.34
UNA,UNILEVER DRC NV,Equity,0.61,45.94,"7,918,081.00","363,726,774.14","363,726,774.14",Consumer Staples,B12T3J1,NL0000009355,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
"1,299.00",AIA GROUP LTD,Equity,0.59,5.99,"58,732,400.00","351,919,875.78","351,919,875.78",Financials,B4TX8S1,HK0000069689,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
ALV,ALLIANZ SE,Equity,0.59,158.39,"2,219,051.00","351,469,091.48","351,469,091.48",Financials,"5,231,485.00",DE0008404005,Xetra,Germany,USD,EUR,0.88
BAS,BASF SE,Equity,0.59,78.77,"4,460,818.00","351,373,515.07","351,373,515.07",Materials,"5,086,577.00",DE000BASF111,Xetra,Germany,USD,EUR,0.88
AZN,ASTRAZENECA PLC,Equity,0.59,57.20,"6,126,853.00","350,431,220.73","350,431,220.73",Health Care,"989,529.00",GB0009895292,London Stock Exchange,United Kingdom,USD,GBP,0.69
DGE,DIAGEO PLC,Equity,0.55,26.75,"12,232,732.00","327,264,493.32","327,264,493.32",Consumer Staples,"237,400.00",GB0002374006,London Stock Exchange,United Kingdom,USD,GBP,0.69
SAN,BANCO SANTANDER SA,Equity,0.54,4.60,"70,471,626.00","324,518,194.35","324,518,194.35",Financials,"5,705,946.00",ES0113900J37,Bolsa De Madrid,Spain,USD,EUR,0.88
DAI,DAIMLER AG,Equity,0.52,66.57,"4,668,418.00","310,782,603.85","310,782,603.85",Consumer Discretionary,"5,529,027.00",DE0007100000,Xetra,Germany,USD,EUR,0.88
LLOY,LLOYDS BANKING GROUP PLC,Equity,0.52,1.00,"310,024,084.00","310,009,385.76","310,009,385.76",Financials,"870,612.00",GB0008706128,London Stock Exchange,United Kingdom,USD,GBP,0.69
RB.,RECKITT BENCKISER GROUP PLC,Equity,0.51,99.30,"3,100,222.00","307,854,360.47","307,854,360.47",Consumer Staples,B24CGK7,GB00B24CGK77,London Stock Exchange,United Kingdom,USD,GBP,0.69
"8,306.00",MITSUBISHI UFJ FINANCIAL GROUP INC,Equity,0.51,4.94,"62,169,880.00","307,272,726.77","307,272,726.77",Financials,"6,335,171.00",JP3902900004,Tokyo Stock Exchange,Japan,USD,JPY,106.47
SAB,SABMILLER PLC,Equity,0.49,62.15,"4,721,129.00","293,425,671.58","293,425,671.58",Consumer Staples,"483,548.00",GB0004835483,London Stock Exchange,United Kingdom,USD,GBP,0.69
ULVR,UNILEVER PLC,Equity,0.49,46.47,"6,254,699.00","290,683,558.34","290,683,558.34",Consumer Staples,B10RZP7,GB00B10RZP78,London Stock Exchange,United Kingdom,USD,GBP,0.69
SHP,SHIRE PLC,Equity,0.45,62.14,"4,360,314.00","270,968,901.13","270,968,901.13",Health Care,B2QKY05,JE00B2QKY057,London Stock Exchange,United Kingdom,USD,GBP,0.69
BNP,BNP PARIBAS SA,Equity,0.45,51.96,"5,160,169.00","268,100,353.77","268,100,353.77",Financials,"7,309,681.00",FR0000131104,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
"9,984.00",SOFTBANK GROUP CORP,Equity,0.45,57.33,"4,667,400.00","267,597,892.27","267,597,892.27",Telecommunications,"6,770,620.00",JP3436100006,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"9,433.00",KDDI CORP,Equity,0.45,29.19,"9,147,600.00","267,043,073.31","267,043,073.31",Telecommunications,"6,248,990.00",JP3496400007,Tokyo Stock Exchange,Japan,USD,JPY,106.47
DTE,DEUTSCHE TELEKOM AG,Equity,0.44,16.93,"15,686,701.00","265,601,299.60","265,601,299.60",Telecommunications,"5,842,359.00",DE0005557508,Xetra,Germany,USD,EUR,0.88
