09-Jun-2016,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,
Total Net Assets,"$73,983,668,859",,,,,,,,,,
Number of Securities,509,,,,,,,,,,
Shares Outstanding,"347,150,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,2.99,99.65,"22,200,488.00","2,212,278,629.20","2,212,278,629.20",Information Technology,"2,046,251.00",US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.21,51.62,"31,668,761.00","1,634,741,442.82","1,634,741,442.82",Information Technology,"2,588,173.00",US5949181045,NASDAQ
XOM,EXXON MOBIL CORP,Equity,2.04,90.67,"16,627,590.00","1,507,623,585.30","1,507,623,585.30",Energy,"2,326,618.00",US30231G1022,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.75,117.00,"11,048,421.00","1,292,665,257.00","1,292,665,257.00",Health Care,"2,475,833.00",US4781601046,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.53,30.24,"37,359,574.00","1,129,753,517.76","1,129,753,517.76",Industrials,"2,380,498.00",US3696041033,New York Stock Exchange Inc.
AMZN,AMAZON COM INC,Equity,1.52,727.65,"1,545,907.00","1,124,879,228.55","1,124,879,228.55",Consumer Discretionary,"2,000,019.00",US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.47,118.56,"9,188,883.00","1,089,433,968.48","1,089,433,968.48",Information Technology,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.44,142.23,"7,501,641.00","1,066,958,399.43","1,066,958,399.43",Financials,"2,073,390.00",US0846707026,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.33,40.09,"24,629,285.00","987,388,035.65","987,388,035.65",Telecommunications,"2,831,811.00",US00206R1023,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.29,64.75,"14,695,664.00","951,544,244.00","951,544,244.00",Financials,"2,190,385.00",US46625H1005,New York Stock Exchange Inc.
