10-Jun-16,,,,,,,,,,,
iShares Core S&P Small-Cap ETF,,,,,,,,,,,
Inception Date,22-May-00,,,,,,,,,,
Fund Holdings as of,10-Jun-16,,,,,,,,,,
Total Net Assets,"$18,274,675,549 ",,,,,,,,,,
Number of Securities,606,,,,,,,,,,
Shares Outstanding,"156,050,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PNY,PIEDMONT NATURAL GAS CO.,Equity,0.78,60.33,"2,359,675.00","142,359,192.75","142,359,192.75",Utilities,"2,688,147.00",US7201861058,New York Stock Exchange Inc.
SWX,SOUTHWEST GAS CORP.,Equity,0.56,74.16,"1,378,030.00","102,194,704.80","102,194,704.80",Utilities,"2,831,888.00",US8448951025,New York Stock Exchange Inc.
TTWO,TAKE-TWO INTERACTIVE SOFTWARE INC.,Equity,0.53,39.04,"2,462,771.00","96,146,579.84","96,146,579.84",Information Technology,"2,122,117.00",US8740541094,NASDAQ
BLKB,BLACKBAUD INC.,Equity,0.49,65.96,"1,363,864.00","89,960,469.44","89,960,469.44",Information Technology,"2,458,878.00",US09227Q1004,NASDAQ
SR,SPIRE INC,Equity,0.48,66.49,"1,325,869.00","88,157,029.81","88,157,029.81",Utilities,BYXJQG9,US84857L1017,New York Stock Exchange Inc.
NUVA,NUVASIVE INC.,Equity,0.47,58.98,"1,442,755.00","85,093,689.90","85,093,689.90",Health Care,B00GJC2,US6707041058,NASDAQ
NWE,NORTHWESTERN CORP.,Equity,0.46,60.65,"1,398,864.00","84,841,101.60","84,841,101.60",Utilities,B03PGL4,US6680743050,New York Stock Exchange Inc.
EME,EMCOR GROUP INC.,Equity,0.46,48.12,"1,761,247.00","84,751,205.64","84,751,205.64",Industrials,"2,474,164.00",US29084Q1004,New York Stock Exchange Inc.
HCSG,HEALTHCARE SERVICES GROUP INC.,Equity,0.45,39.65,"2,095,640.00","83,092,126.00","83,092,126.00",Industrials,"2,417,619.00",US4219061086,NASDAQ
ENS,ENERSYS INC.,Equity,0.45,64.95,"1,261,055.00","81,905,522.25","81,905,522.25",Industrials,B020GQ5,US29275Y1029,New York Stock Exchange Inc.
ALE,ALLETE INC.,Equity,0.45,60.81,"1,340,299.00","81,503,582.19","81,503,582.19",Utilities,B02R1L6,US0185223007,New York Stock Exchange Inc.
BGS,B AND G FOODS INC,Equity,0.45,45.21,"1,801,251.00","81,434,557.71","81,434,557.71",Consumer Staples,B034L49,US05508R1068,New York Stock Exchange Inc.
DY,DYCOM INDUSTRIES INC.,Equity,0.44,84.76,"955,093.00","80,953,682.68","80,953,682.68",Industrials,"2,289,841.00",US2674751019,New York Stock Exchange Inc.
PRA,PROASSURANCE CORP.,Equity,0.44,52.05,"1,541,189.00","80,218,887.45","80,218,887.45",Financials,"2,612,737.00",US74267C1062,New York Stock Exchange Inc.
HOMB,HOME BANCSHARES INC.,Equity,0.43,22.09,"3,546,552.00","78,343,333.68","78,343,333.68",Financials,B17MTL9,US4368932004,NASDAQ
AVA,AVISTA CORP.,Equity,0.42,42.46,"1,814,261.00","77,033,522.06","77,033,522.06",Utilities,"2,942,605.00",US05379B1070,New York Stock Exchange Inc.
CMN,CANTEL MEDICAL CORP.,Equity,0.42,73.58,"1,042,697.00","76,721,645.26","76,721,645.26",Health Care,"2,188,153.00",US1380981084,New York Stock Exchange Inc.
LFUS,LITTELFUSE INC.,Equity,0.42,118.12,"648,684.00","76,622,554.08","76,622,554.08",Information Technology,"2,531,832.00",US5370081045,NASDAQ
MDSO,MEDIDATA SOLUTIONS INC.,Equity,0.42,46.79,"1,636,232.00","76,559,295.28","76,559,295.28",Health Care,B5424Q0,US58471A1051,NASDAQ
MDCO,MEDICINES CO.,Equity,0.41,37.26,"2,016,213.00","75,124,096.38","75,124,096.38",Health Care,"2,616,773.00",US5846881051,NASDAQ
PDCE,PDC ENERGY INC,Equity,0.41,56.33,"1,317,967.00","74,241,081.11","74,241,081.11",Energy,B89M5F2,US69327R1014,NASDAQ
MPWR,MONOLITHIC POWER SYSTEMS INC.,Equity,0.41,69.07,"1,073,728.00","74,162,392.96","74,162,392.96",Information Technology,B01Z7J1,US6098391054,NASDAQ
RLI,RLI CORP.,Equity,0.4,67.12,"1,100,650.00","73,875,628.00","73,875,628.00",Financials,"2,719,070.00",US7496071074,New York Stock Exchange Inc.
DAR,DARLING INGREDIENTS INC,Equity,0.4,15.4,"4,766,005.00","73,396,477.00","73,396,477.00",Consumer Staples,"2,250,289.00",US2372661015,New York Stock Exchange Inc.
COR,CORESITE REALTY CORP.,Equity,0.4,83.1,"880,010.00","73,128,831.00","73,128,831.00",Financials,B3T3VV8,US21870Q1058,New York Stock Exchange Inc.
WTFC,WINTRUST FINANCIAL CORP.,Equity,0.4,51.59,"1,406,057.00","72,538,480.63","72,538,480.63",Financials,"2,425,258.00",US97650W1080,NASDAQ
