iShares Nasdaq Biotechnology ETF
Inception Date,"Feb 5, 2001"
Fund Holdings as of,"08-Jun-2016"
Total Net Assets,"$6,783,203,690"
Shares Outstanding,"24,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AMGN","AMGEN INC","Equity","8.1340","158.00","3,556,500","$561,927,000","561,927,000.00","Health Care","2023607","US0311621009","NASDAQ"
"CELG","CELGENE CORP","Equity","7.7570","106.78","5,018,553","$535,881,089","535,881,089.34","Health Care","2182348","US1510201049","NASDAQ"
"GILD","GILEAD SCIENCES INC","Equity","7.3391","87.42","5,799,679","$507,007,938","507,007,938.18","Health Care","2369174","US3755581036","NASDAQ"
"BIIB","BIOGEN INC","Equity","7.1765","254.17","1,950,582","$495,779,427","495,779,426.94","Health Care","2455965","US09062X1037","NASDAQ"
"REGN","REGENERON PHARMACEUTICALS INC","Equity","7.1339","388.97","1,267,022","$492,833,547","492,833,547.34","Health Care","2730190","US75886F1075","NASDAQ"
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","4.0520","94.59","2,959,394","$279,929,078","279,929,078.46","Health Care","2931034","US92532F1003","NASDAQ"
"MYL","MYLAN NV","Equity","3.7790","46.51","5,613,197","$261,069,792","261,069,792.47","Health Care","BVFMFG8","NL0011031208","NASDAQ"
"ALXN","ALEXION PHARMACEUTICALS INC","Equity","3.6122","138.88","1,796,847","$249,546,111","249,546,111.36","Health Care","2036070","US0153511094","NASDAQ"
"ILMN","ILLUMINA INC","Equity","3.5406","145.26","1,683,880","$244,600,409","244,600,408.80","Health Care","2613990","US4523271090","NASDAQ"
"INCY","INCYTE CORP","Equity","2.9577","82.90","2,464,725","$204,325,703","204,325,702.50","Health Care","2471950","US45337C1027","NASDAQ"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Equity","2.5899","84.10","2,127,456","$178,919,050","178,919,049.60","Health Care","2437071","US09061G1013","NASDAQ"
"MDVN","MEDIVATION INC.","Equity","1.8812","60.07","2,163,468","$129,959,523","129,959,522.76","Health Care","B033T75","US58501N1019","NASDAQ"
"JAZZ","JAZZ PHARMACEUTICALS PLC","Equity","1.8079","154.96","805,999","$124,897,605","124,897,605.04","Health Care","B4Q5ZN4","IE00B4Q5ZN47","NASDAQ"
"ALKS","ALKERMES PLC","Equity","1.3108","45.60","1,985,881","$90,556,174","90,556,173.60","Health Care","B3P6D26","IE00B56GVS15","NASDAQ"
"SHPG","SHIRE ADR REPRESENTING PLC","Equity","1.3011","188.62","476,547","$89,886,295","89,886,295.14","Health Care","B39JBM7","US82481R1068","NASDAQ"
"ALNY","ALNYLAM PHARMACEUTICALS INC.","Equity","1.1346","69.88","1,121,670","$78,382,300","78,382,299.60","Health Care","B00FWN1","US02043Q1076","NASDAQ"
"SGEN","SEATTLE GENETICS INC.","Equity","1.1312","42.39","1,843,562","$78,148,593","78,148,593.18","Health Care","2738127","US8125781026","NASDAQ"
"UTHR","UNITED THERAPEUTICS CORP.","Equity","1.0123","117.04","597,503","$69,931,751","69,931,751.12","Health Care","2430412","US91307C1027","NASDAQ"
"QGEN","QIAGEN N.V.","Equity","1.0018","22.54","3,070,294","$69,204,427","69,204,426.76","Health Care","2437907","NL0000240000","NASDAQ"
"JUNO","JUNO THERAPEUTICS INC","Equity","0.9619","48.47","1,371,000","$66,452,370","66,452,370.00","Health Care","BTF8LD1","US48205A1097","NASDAQ"
"ACAD","ACADIA PHARMACEUTICALS INC","Equity","0.8926","41.55","1,484,074","$61,663,275","61,663,274.70","Health Care","2713317","US0042251084","NASDAQ"
"NBIX","NEUROCRINE BIOSCIENCES INC.","Equity","0.8569","51.97","1,139,029","$59,195,337","59,195,337.13","Health Care","2623911","US64125C1099","NASDAQ"
"ANAC","ANACOR PHARMACEUTICALS INC.","Equity","0.8486","99.19","591,001","$58,621,389","58,621,389.19","Health Care","B28M788","US0324201013","NASDAQ"
"TECH","BIO TECHNE CORP","Equity","0.8099","114.18","490,008","$55,949,113","55,949,113.44","Health Care","BSHZ3Q0","US09073M1045","NASDAQ"
"ENDP","ENDO INTERNATIONAL PLC","Equity","0.7510","17.72","2,927,779","$51,880,244","51,880,243.88","Health Care","BJ3V905","IE00BJ3V9050","NASDAQ"
